"page_id","phrase_id","source_lane","pageKind","relationship_id","source_kind","source_id","target_kind","target_id","relation_type","display_label","reason","sort_order","generated_relation_source_path","source_path","proposed_target_page_id","proposed_relation_type","proposed_display_label","proposed_reason","review_status","import_approval","approved_by","approved_at"
"viet-phrase-airport-1","airport-1","tier1","phrase","relation:3380b926f1daf1b9","phrase_page","viet-phrase-airport-1","phrase_page","viet-phrase-v500-airp-bord-arri-where-is-the-atm","see_also","When to use it","Authored When to use it row links these phrase pages.","2","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-immigration.json","","","","","not_started","","",""
"viet-phrase-airport-1","airport-1","tier1","phrase","relation:3bd188dbcf18d3cf","phrase_page","viet-phrase-airport-1","phrase_page","viet-phrase-airport-5","see_also","Traveler insight","Authored Traveler insight row links these phrase pages.","2","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-immigration.json","","","","","not_started","","",""
"viet-phrase-airport-1","airport-1","tier1","phrase","relation:5fedbb9c4e3bcc88","phrase_page","viet-phrase-airport-1","phrase_page","viet-phrase-airport-7","next_step_after","Explore next","Fallback Explore next row from neighboring phrases in the same travel category.","4","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-immigration.json","","","","","not_started","","",""
"viet-phrase-airport-1","airport-1","tier1","phrase","relation:b174f4a7393bf540","phrase_page","viet-phrase-airport-1","phrase_page","viet-phrase-polite-1","next_step_after","Explore next","Fallback Explore next row from neighboring phrases in the same travel category.","8","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-immigration.json","","","","","not_started","","",""
"viet-phrase-airport-1","airport-1","tier1","phrase","relation:ccd88224df7a8e54","phrase_page","viet-phrase-airport-1","phrase_page","viet-phrase-polite-2","next_step_after","Explore next","Fallback Explore next row from neighboring phrases in the same travel category.","9","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-immigration.json","","","","","not_started","","",""
"viet-phrase-airport-2","airport-2","tier1","phrase","relation:23f09427573eef02","phrase_page","viet-phrase-airport-2","phrase_page","viet-phrase-airport-1","see_also","Traveler insight","Authored Traveler insight row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-baggage.json","","","","","not_started","","",""
"viet-phrase-airport-2","airport-2","tier1","phrase","relation:3a9e3cd74e9e3ee3","phrase_page","viet-phrase-airport-2","phrase_page","viet-phrase-airport-6","see_also","When to use it","Authored When to use it row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-baggage.json","","","","","not_started","","",""
"viet-phrase-airport-2","airport-2","tier1","phrase","relation:bb1644bdcd9e4780","phrase_page","viet-phrase-airport-2","phrase_page","viet-phrase-v500-airp-bord-arri-here-is-my-passport","see_also","Local tip","Authored Local tip row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-baggage.json","","","","","not_started","","",""
"viet-phrase-airport-2","airport-2","tier1","phrase","relation:6e3702cc1ea97bb0","phrase_page","viet-phrase-airport-2","phrase_page","viet-phrase-airport-3","see_also","Traveler insight","Authored Traveler insight row links these phrase pages.","1","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-baggage.json","","","","","not_started","","",""
"viet-phrase-airport-2","airport-2","tier1","phrase","relation:d359059141758ac5","phrase_page","viet-phrase-airport-2","phrase_page","viet-phrase-v500-airp-bord-arri-here-is-my-visa","see_also","When to use it","Authored When to use it row links these phrase pages.","1","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-baggage.json","","","","","not_started","","",""
"viet-phrase-airport-2","airport-2","tier1","phrase","relation:190172eebdb354c2","phrase_page","viet-phrase-airport-2","phrase_page","viet-phrase-v500-airp-bord-arri-where-is-the-atm","see_also","When to use it","Authored When to use it row links these phrase pages.","2","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-baggage.json","","","","","not_started","","",""
"viet-phrase-airport-2","airport-2","tier1","phrase","relation:3945ed2825537ff7","phrase_page","viet-phrase-airport-2","phrase_page","viet-phrase-airport-5","see_also","Traveler insight","Authored Traveler insight row links these phrase pages.","2","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-baggage.json","","","","","not_started","","",""
"viet-phrase-airport-2","airport-2","tier1","phrase","relation:6f21f721451f346b","phrase_page","viet-phrase-airport-2","phrase_page","viet-phrase-airport-7","next_step_after","Explore next","Fallback Explore next row from neighboring phrases in the same travel category.","4","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-baggage.json","","","","","not_started","","",""
"viet-phrase-airport-2","airport-2","tier1","phrase","relation:ca9aeabae3140adc","phrase_page","viet-phrase-airport-2","phrase_page","viet-phrase-polite-1","next_step_after","Explore next","Fallback Explore next row from neighboring phrases in the same travel category.","8","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-baggage.json","","","","","not_started","","",""
"viet-phrase-airport-2","airport-2","tier1","phrase","relation:4af48d2ff8b49c65","phrase_page","viet-phrase-airport-2","phrase_page","viet-phrase-polite-2","next_step_after","Explore next","Fallback Explore next row from neighboring phrases in the same travel category.","9","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/tier-one/airport-border-arrival/airport-baggage.json","","","","","not_started","","",""
